id,auteur,nom,date,page,descriptif,available
1,Jules Verne,Voyage au centre de la Terre,1864,320,Un roman d'aventures scientifiques dans les profondeurs de la Terre.,1
2,Victor Hugo,Les Misérables,1862,1232,Un chef-d'œuvre de la littérature française explorant justice et rédemption.,1
3,George Orwell,1984,1949,328,Un roman dystopique sur la surveillance et le totalitarisme.,1
4,Mary Shelley,Frankenstein,1818,280,Une histoire sur la création d’un monstre et les limites de la science.,1
5,Agatha Christie,Le Meurtre de Roger Ackroyd,1926,312,Un classique du roman policier avec Hercule Poirot.,1
6,Albert Camus,L'Étranger,1942,184,Un roman existentiel sur l’absurdité de la vie.,1
7,J.K. Rowling,Harry Potter à l'école des sorciers,1997,309,Le début de la célèbre saga du jeune sorcier.,1
8,Miguel de Cervantès,Don Quichotte,1605,1072,Les aventures comiques d’un chevalier idéaliste et de son écuyer.,1
9,Fyodor Dostoïevski,Crime et Châtiment,1866,671,Un roman psychologique sur la culpabilité et la rédemption.,1
10,Jane Austen,Orgueil et Préjugés,1813,432,Une comédie de mœurs et une critique sociale de l’Angleterre du XIXe siècle.,1
11,Leo Tolstoï,Guerre et Paix,1869,1225,Une fresque historique sur la Russie pendant les guerres napoléoniennes.,1
12,Marcel Proust,À la recherche du temps perdu,1913,4215,Une œuvre monumentale sur la mémoire et le temps.,1
13,Antoine de Saint-Exupéry,Le Petit Prince,1943,96,Un conte poétique et philosophique universel.,1
14,Herman Melville,Moby Dick,1851,720,La quête obsessionnelle du capitaine Achab contre la baleine blanche.,1
15,Charles Dickens,Oliver Twist,1838,554,L’histoire d’un orphelin dans les bas-fonds de Londres.,1
16,Homer,L’Odyssée,-800,541,L’épopée du retour d’Ulysse après la guerre de Troie.,1
17,Dante Alighieri,La Divine Comédie,1320,798,Un voyage allégorique à travers l’Enfer, le Purgatoire et le Paradis.,1
18,Franz Kafka,Le Procès,1925,320,Un roman sur l’absurdité bureaucratique et l’angoisse existentielle.,1
19,Albert Cohen,Belle du Seigneur,1968,1112,Un grand roman d’amour et de passion tragique.,1
20,Ernest Hemingway,Le Vieil Homme et la Mer,1952,127,L’histoire d’un vieux pêcheur cubain affrontant un espadon géant.,121,pomme,banane,1990,234,test,1
21,tes,test,1111,1111,test,1
